"s_songid","s_albumid","s_songname","s_genre","duration","s_times_played"
47,9978,"songName47","Classical","05:00:00",0
48,8614,"songName48","Pop","06:00:00",0
49,7494,"songName49","Metal","06:00:00",0
50,8377,"songName50","Reggae","07:00:00",0
51,9155,"songName51","Jazz","07:00:00",0
52,8103,"songName52","Pop","06:00:00",0
53,6775,"songName53","Metal","05:00:00",0
54,6932,"songName54","Metal","07:00:00",0
55,7436,"songName55","Jazz","06:00:00",0
56,7959,"songName56","Reggae","05:00:00",0
57,9966,"songName57","Rock","05:00:00",0
58,6343,"songName58","Rock","05:00:00",0
59,7662,"songName59","Pop","06:00:00",0
60,4722,"songName60","Electronic","07:00:00",0
61,2729,"songName61","Metal","05:00:00",0
62,362,"songName62","Metal","06:00:00",0
63,7172,"songName63","Classical","05:00:00",0
64,5377,"songName64","Jazz","07:00:00",0
65,4413,"songName65","Reggae","05:00:00",0
66,6745,"songName66","Hip Hop","05:00:00",0
67,4643,"songName67","Classical","06:00:00",0
68,4586,"songName68","Metal","06:00:00",0
69,5673,"songName69","Country","07:00:00",0
70,3449,"songName70","Metal","07:00:00",0
71,4900,"songName71","Blues","05:00:00",0
72,2768,"songName72","Hip Hop","07:00:00",0
73,6375,"songName73","Metal","07:00:00",0
74,9739,"songName74","Rock","06:00:00",0
75,8825,"songName75","Hip Hop","07:00:00",0
76,63,"songName76","Metal","05:00:00",0
77,2744,"songName77","Pop","06:00:00",0
78,1656,"songName78","Pop","05:00:00",0
79,5592,"songName79","Rock","07:00:00",0
80,3630,"songName80","Country","05:00:00",0
81,5826,"songName81","Jazz","05:00:00",0
82,4122,"songName82","Jazz","07:00:00",0
83,6008,"songName83","Jazz","06:00:00",0
84,367,"songName84","Jazz","06:00:00",0
85,4335,"songName85","Hip Hop","06:00:00",0
86,6457,"songName86","Country","07:00:00",0
87,1286,"songName87","Electronic","06:00:00",0
88,4313,"songName88","Rock","06:00:00",0
89,9575,"songName89","Blues","06:00:00",0
90,7749,"songName90","Country","07:00:00",0
91,8721,"songName91","Hip Hop","06:00:00",0
92,7395,"songName92","Classical","05:00:00",0
93,8474,"songName93","Blues","06:00:00",0
94,4303,"songName94","Reggae","06:00:00",0
95,9882,"songName95","Reggae","07:00:00",0
96,2651,"songName96","Blues","07:00:00",0
97,7308,"songName97","Reggae","06:00:00",0
98,2584,"songName98","Pop","05:00:00",0
99,5683,"songName99","Blues","07:00:00",0
100,6083,"songName100","Country","06:00:00",0
101,2259,"songName101","Rock","07:00:00",0
102,4465,"songName102","Reggae","05:00:00",0
103,3535,"songName103","Electronic","07:00:00",0
104,2197,"songName104","Metal","06:00:00",0
105,175,"songName105","Metal","07:00:00",0
106,6124,"songName106","Pop","06:00:00",0
107,1654,"songName107","Hip Hop","06:00:00",0
108,4929,"songName108","Metal","07:00:00",0
109,5569,"songName109","Jazz","05:00:00",0
110,2462,"songName110","Pop","06:00:00",0
111,9093,"songName111","Pop","06:00:00",0
112,8768,"songName112","Pop","06:00:00",0
113,5819,"songName113","Metal","05:00:00",0
114,4357,"songName114","Classical","06:00:00",0
115,3534,"songName115","Reggae","06:00:00",0
116,6667,"songName116","Electronic","07:00:00",0
117,8689,"songName117","Classical","07:00:00",0
118,896,"songName118","Blues","06:00:00",0
119,99,"songName119","Electronic","05:00:00",0
120,1684,"songName120","Electronic","07:00:00",0
121,6990,"songName121","Metal","06:00:00",0
122,7049,"songName122","Hip Hop","06:00:00",0
123,3787,"songName123","Country","05:00:00",0
124,2332,"songName124","Hip Hop","06:00:00",0
3,1575,"songName3","Blues","05:00:00",2
125,5246,"songName125","Jazz","05:00:00",0
126,5730,"songName126","Classical","05:00:00",0
127,4014,"songName127","Pop","07:00:00",0
128,1980,"songName128","Metal","06:00:00",0
129,9824,"songName129","Blues","05:00:00",0
130,5408,"songName130","Reggae","07:00:00",0
131,1370,"songName131","Jazz","07:00:00",0
132,9745,"songName132","Hip Hop","06:00:00",0
133,204,"songName133","Reggae","05:00:00",0
134,9722,"songName134","Electronic","07:00:00",0
135,7653,"songName135","Rock","05:00:00",0
136,6549,"songName136","Metal","05:00:00",0
137,9284,"songName137","Metal","05:00:00",0
138,4374,"songName138","Reggae","06:00:00",0
139,6612,"songName139","Metal","06:00:00",0
140,210,"songName140","Electronic","05:00:00",0
141,3199,"songName141","Country","07:00:00",0
142,9990,"songName142","Electronic","07:00:00",0
143,9291,"songName143","Country","06:00:00",0
144,4752,"songName144","Rock","06:00:00",0
145,8066,"songName145","Country","05:00:00",0
146,8986,"songName146","Jazz","05:00:00",0
147,6419,"songName147","Metal","07:00:00",0
148,6190,"songName148","Classical","07:00:00",0
149,1132,"songName149","Metal","06:00:00",0
150,8151,"songName150","Metal","05:00:00",0
151,2035,"songName151","Country","07:00:00",0
152,6616,"songName152","Blues","07:00:00",0
153,3723,"songName153","Rock","06:00:00",0
154,7699,"songName154","Rock","07:00:00",0
155,5052,"songName155","Electronic","05:00:00",0
156,5538,"songName156","Pop","06:00:00",0
157,1285,"songName157","Classical","05:00:00",0
158,9121,"songName158","Reggae","05:00:00",0
159,2220,"songName159","Classical","06:00:00",0
160,6626,"songName160","Rock","05:00:00",0
161,4869,"songName161","Country","06:00:00",0
162,1026,"songName162","Reggae","07:00:00",0
163,9134,"songName163","Metal","07:00:00",0
164,5755,"songName164","Metal","06:00:00",0
165,5647,"songName165","Electronic","05:00:00",0
166,8087,"songName166","Country","06:00:00",0
167,9180,"songName167","Pop","05:00:00",0
168,2855,"songName168","Reggae","05:00:00",0
169,8409,"songName169","Rock","06:00:00",0
170,8126,"songName170","Reggae","07:00:00",0
171,4554,"songName171","Classical","05:00:00",0
172,3953,"songName172","Country","06:00:00",0
173,2886,"songName173","Reggae","05:00:00",0
174,5555,"songName174","Hip Hop","06:00:00",0
175,6568,"songName175","Classical","07:00:00",0
176,7732,"songName176","Blues","07:00:00",0
177,1700,"songName177","Classical","07:00:00",0
178,8142,"songName178","Electronic","07:00:00",0
179,6076,"songName179","Classical","07:00:00",0
180,4803,"songName180","Reggae","05:00:00",0
181,9917,"songName181","Reggae","05:00:00",0
182,3303,"songName182","Country","06:00:00",0
183,155,"songName183","Country","06:00:00",0
184,8216,"songName184","Reggae","05:00:00",0
185,1416,"songName185","Country","07:00:00",0
186,783,"songName186","Electronic","05:00:00",0
187,9372,"songName187","Classical","05:00:00",0
188,7253,"songName188","Reggae","06:00:00",0
189,8352,"songName189","Blues","07:00:00",0
190,9042,"songName190","Electronic","07:00:00",0
191,3865,"songName191","Rock","05:00:00",0
192,3261,"songName192","Metal","06:00:00",0
193,4891,"songName193","Classical","07:00:00",0
194,9488,"songName194","Country","07:00:00",0
195,2035,"songName195","Hip Hop","07:00:00",0
196,7518,"songName196","Electronic","06:00:00",0
197,7229,"songName197","Jazz","06:00:00",0
198,6573,"songName198","Reggae","07:00:00",0
199,1204,"songName199","Classical","06:00:00",0
200,4517,"songName200","Blues","05:00:00",0
201,8187,"songName201","Electronic","07:00:00",0
202,2349,"songName202","Metal","07:00:00",0
203,2116,"songName203","Country","07:00:00",0
204,5633,"songName204","Country","06:00:00",0
205,2476,"songName205","Pop","06:00:00",0
206,5463,"songName206","Pop","05:00:00",0
207,3148,"songName207","Jazz","06:00:00",0
208,3061,"songName208","Blues","05:00:00",0
209,6811,"songName209","Metal","05:00:00",0
210,6111,"songName210","Classical","06:00:00",0
211,633,"songName211","Pop","05:00:00",0
212,3105,"songName212","Jazz","07:00:00",0
213,6986,"songName213","Metal","06:00:00",0
214,9855,"songName214","Reggae","05:00:00",0
215,8663,"songName215","Hip Hop","06:00:00",0
216,1656,"songName216","Blues","05:00:00",0
217,631,"songName217","Jazz","05:00:00",0
218,343,"songName218","Country","07:00:00",0
219,2302,"songName219","Electronic","07:00:00",0
220,7332,"songName220","Pop","05:00:00",0
221,9441,"songName221","Classical","07:00:00",0
222,984,"songName222","Electronic","05:00:00",0
223,252,"songName223","Reggae","05:00:00",0
224,2490,"songName224","Blues","06:00:00",0
225,4148,"songName225","Rock","06:00:00",0
226,2793,"songName226","Pop","06:00:00",0
227,1930,"songName227","Metal","06:00:00",0
228,3220,"songName228","Reggae","06:00:00",0
229,1752,"songName229","Hip Hop","05:00:00",0
230,4736,"songName230","Rock","06:00:00",0
231,8431,"songName231","Classical","06:00:00",0
232,9078,"songName232","Jazz","05:00:00",0
233,8514,"songName233","Rock","06:00:00",0
234,7351,"songName234","Electronic","06:00:00",0
235,1750,"songName235","Electronic","06:00:00",0
236,1211,"songName236","Classical","06:00:00",0
237,8330,"songName237","Electronic","06:00:00",0
238,1051,"songName238","Reggae","05:00:00",0
239,9337,"songName239","Electronic","07:00:00",0
240,3528,"songName240","Hip Hop","06:00:00",0
241,7430,"songName241","Metal","05:00:00",0
242,3288,"songName242","Reggae","06:00:00",0
243,1039,"songName243","Hip Hop","07:00:00",0
244,4562,"songName244","Classical","06:00:00",0
245,2605,"songName245","Metal","06:00:00",0
246,8561,"songName246","Rock","07:00:00",0
247,1174,"songName247","Classical","07:00:00",0
248,2943,"songName248","Jazz","05:00:00",0
249,5201,"songName249","Hip Hop","05:00:00",0
250,9342,"songName250","Hip Hop","05:00:00",0
251,3981,"songName251","Country","06:00:00",0
252,7753,"songName252","Hip Hop","06:00:00",0
253,1371,"songName253","Metal","07:00:00",0
254,5504,"songName254","Electronic","05:00:00",0
255,303,"songName255","Country","07:00:00",0
256,9582,"songName256","Hip Hop","05:00:00",0
257,5829,"songName257","Pop","07:00:00",0
258,3256,"songName258","Reggae","06:00:00",0
259,7667,"songName259","Metal","05:00:00",0
260,1781,"songName260","Electronic","06:00:00",0
261,963,"songName261","Classical","05:00:00",0
262,5311,"songName262","Classical","06:00:00",0
263,7591,"songName263","Rock","06:00:00",0
264,6959,"songName264","Blues","05:00:00",0
265,8723,"songName265","Hip Hop","06:00:00",0
266,6863,"songName266","Jazz","07:00:00",0
267,5838,"songName267","Metal","07:00:00",0
268,4392,"songName268","Hip Hop","05:00:00",0
269,9637,"songName269","Electronic","05:00:00",0
270,4263,"songName270","Blues","06:00:00",0
271,8775,"songName271","Metal","07:00:00",0
272,7448,"songName272","Reggae","07:00:00",0
273,663,"songName273","Hip Hop","07:00:00",0
274,4680,"songName274","Jazz","06:00:00",0
275,1547,"songName275","Jazz","07:00:00",0
276,5629,"songName276","Jazz","06:00:00",0
277,5216,"songName277","Electronic","06:00:00",0
278,4967,"songName278","Jazz","05:00:00",0
279,1868,"songName279","Hip Hop","06:00:00",0
280,6547,"songName280","Rock","06:00:00",0
281,6891,"songName281","Reggae","07:00:00",0
282,5918,"songName282","Electronic","07:00:00",0
283,6830,"songName283","Rock","05:00:00",0
284,402,"songName284","Country","07:00:00",0
285,625,"songName285","Pop","05:00:00",0
286,564,"songName286","Hip Hop","06:00:00",0
287,9129,"songName287","Jazz","06:00:00",0
288,833,"songName288","Pop","06:00:00",0
289,103,"songName289","Rock","06:00:00",0
290,8536,"songName290","Metal","06:00:00",0
291,5087,"songName291","Hip Hop","06:00:00",0
292,7576,"songName292","Electronic","05:00:00",0
293,3468,"songName293","Electronic","06:00:00",0
294,1191,"songName294","Country","06:00:00",0
295,2504,"songName295","Rock","06:00:00",0
296,1207,"songName296","Pop","07:00:00",0
297,6083,"songName297","Pop","07:00:00",0
298,9100,"songName298","Classical","06:00:00",0
299,7674,"songName299","Country","07:00:00",0
300,1450,"songName300","Jazz","07:00:00",0
301,5369,"songName301","Electronic","07:00:00",0
302,828,"songName302","Hip Hop","07:00:00",0
303,2415,"songName303","Classical","06:00:00",0
304,9236,"songName304","Blues","07:00:00",0
305,6894,"songName305","Electronic","05:00:00",0
306,6814,"songName306","Classical","06:00:00",0
307,6850,"songName307","Blues","05:00:00",0
308,7290,"songName308","Classical","05:00:00",0
309,1779,"songName309","Pop","06:00:00",0
310,6303,"songName310","Rock","07:00:00",0
311,5908,"songName311","Classical","05:00:00",0
312,9749,"songName312","Jazz","07:00:00",0
313,2121,"songName313","Country","07:00:00",0
314,9784,"songName314","Jazz","06:00:00",0
315,5960,"songName315","Metal","07:00:00",0
316,970,"songName316","Rock","05:00:00",0
317,6854,"songName317","Reggae","05:00:00",0
318,1292,"songName318","Hip Hop","07:00:00",0
319,4079,"songName319","Reggae","07:00:00",0
320,3718,"songName320","Country","07:00:00",0
321,6783,"songName321","Hip Hop","06:00:00",0
322,5891,"songName322","Reggae","05:00:00",0
323,5694,"songName323","Rock","07:00:00",0
324,7174,"songName324","Pop","05:00:00",0
325,3746,"songName325","Electronic","07:00:00",0
326,5979,"songName326","Hip Hop","06:00:00",0
327,1569,"songName327","Pop","05:00:00",0
328,7451,"songName328","Country","06:00:00",0
329,196,"songName329","Country","05:00:00",0
330,4140,"songName330","Reggae","06:00:00",0
331,8681,"songName331","Metal","06:00:00",0
332,93,"songName332","Hip Hop","05:00:00",0
333,1097,"songName333","Electronic","05:00:00",0
334,2301,"songName334","Classical","07:00:00",0
335,5621,"songName335","Blues","05:00:00",0
336,1579,"songName336","Metal","07:00:00",0
337,2145,"songName337","Metal","07:00:00",0
338,8527,"songName338","Hip Hop","05:00:00",0
339,8473,"songName339","Hip Hop","05:00:00",0
340,4188,"songName340","Metal","05:00:00",0
341,6772,"songName341","Metal","07:00:00",0
342,3127,"songName342","Jazz","06:00:00",0
343,4155,"songName343","Pop","05:00:00",0
344,8767,"songName344","Electronic","06:00:00",0
345,9809,"songName345","Rock","06:00:00",0
346,8885,"songName346","Electronic","05:00:00",0
347,228,"songName347","Rock","07:00:00",0
348,2553,"songName348","Rock","05:00:00",0
349,1664,"songName349","Reggae","06:00:00",0
350,991,"songName350","Rock","06:00:00",0
351,3668,"songName351","Jazz","07:00:00",0
352,1573,"songName352","Pop","05:00:00",0
353,8048,"songName353","Blues","06:00:00",0
354,344,"songName354","Metal","05:00:00",0
355,4976,"songName355","Blues","06:00:00",0
356,7562,"songName356","Blues","05:00:00",0
357,5750,"songName357","Jazz","05:00:00",0
358,9369,"songName358","Pop","06:00:00",0
359,4627,"songName359","Metal","07:00:00",0
360,2362,"songName360","Blues","05:00:00",0
361,792,"songName361","Jazz","07:00:00",0
362,8374,"songName362","Pop","07:00:00",0
363,2700,"songName363","Hip Hop","06:00:00",0
364,4918,"songName364","Pop","05:00:00",0
365,6090,"songName365","Blues","06:00:00",0
366,7946,"songName366","Hip Hop","05:00:00",0
367,7581,"songName367","Country","07:00:00",0
368,7667,"songName368","Blues","05:00:00",0
369,2484,"songName369","Electronic","06:00:00",0
370,8228,"songName370","Classical","05:00:00",0
371,4715,"songName371","Rock","05:00:00",0
372,654,"songName372","Blues","06:00:00",0
373,9663,"songName373","Rock","05:00:00",0
374,7,"songName374","Electronic","06:00:00",0
375,7449,"songName375","Pop","06:00:00",0
376,7124,"songName376","Classical","07:00:00",0
377,2828,"songName377","Country","05:00:00",0
378,3766,"songName378","Pop","05:00:00",0
379,3733,"songName379","Classical","05:00:00",0
380,629,"songName380","Rock","06:00:00",0
381,8568,"songName381","Pop","07:00:00",0
382,2669,"songName382","Electronic","06:00:00",0
383,3994,"songName383","Hip Hop","05:00:00",0
384,3489,"songName384","Classical","06:00:00",0
385,4623,"songName385","Rock","07:00:00",0
386,9062,"songName386","Classical","06:00:00",0
387,5521,"songName387","Reggae","05:00:00",0
388,4943,"songName388","Classical","05:00:00",0
389,5541,"songName389","Electronic","07:00:00",0
390,6508,"songName390","Pop","07:00:00",0
391,373,"songName391","Jazz","06:00:00",0
392,6953,"songName392","Hip Hop","05:00:00",0
393,634,"songName393","Jazz","07:00:00",0
394,5517,"songName394","Reggae","06:00:00",0
395,3648,"songName395","Metal","07:00:00",0
396,1345,"songName396","Classical","05:00:00",0
397,6758,"songName397","Rock","06:00:00",0
398,401,"songName398","Hip Hop","05:00:00",0
399,6552,"songName399","Jazz","06:00:00",0
400,7515,"songName400","Metal","05:00:00",0
401,2580,"songName401","Country","06:00:00",0
402,5381,"songName402","Electronic","05:00:00",0
403,2834,"songName403","Blues","05:00:00",0
404,4910,"songName404","Classical","07:00:00",0
405,8841,"songName405","Country","05:00:00",0
406,279,"songName406","Rock","06:00:00",0
407,835,"songName407","Country","07:00:00",0
408,1427,"songName408","Hip Hop","05:00:00",0
409,6591,"songName409","Classical","05:00:00",0
410,1208,"songName410","Jazz","07:00:00",0
411,2615,"songName411","Classical","06:00:00",0
412,6211,"songName412","Pop","07:00:00",0
413,4153,"songName413","Metal","07:00:00",0
414,4466,"songName414","Electronic","07:00:00",0
415,9560,"songName415","Pop","05:00:00",0
416,8188,"songName416","Reggae","06:00:00",0
417,671,"songName417","Pop","05:00:00",0
418,7904,"songName418","Rock","06:00:00",0
419,745,"songName419","Country","07:00:00",0
420,8485,"songName420","Pop","07:00:00",0
421,8654,"songName421","Electronic","06:00:00",0
422,4508,"songName422","Jazz","07:00:00",0
423,2851,"songName423","Rock","06:00:00",0
424,3037,"songName424","Metal","05:00:00",0
425,8056,"songName425","Reggae","06:00:00",0
426,782,"songName426","Metal","05:00:00",0
427,7739,"songName427","Metal","05:00:00",0
428,3455,"songName428","Pop","07:00:00",0
429,3870,"songName429","Reggae","06:00:00",0
430,8,"songName430","Jazz","06:00:00",0
431,5239,"songName431","Country","06:00:00",0
432,6380,"songName432","Hip Hop","07:00:00",0
433,6745,"songName433","Country","06:00:00",0
434,1226,"songName434","Jazz","05:00:00",0
435,6530,"songName435","Pop","06:00:00",0
436,1418,"songName436","Pop","06:00:00",0
437,4643,"songName437","Rock","07:00:00",0
438,6088,"songName438","Hip Hop","06:00:00",0
439,6969,"songName439","Pop","07:00:00",0
440,4391,"songName440","Rock","07:00:00",0
441,4698,"songName441","Country","06:00:00",0
442,355,"songName442","Electronic","06:00:00",0
443,172,"songName443","Rock","07:00:00",0
444,6718,"songName444","Classical","05:00:00",0
445,3993,"songName445","Reggae","05:00:00",0
446,6695,"songName446","Metal","06:00:00",0
447,3052,"songName447","Hip Hop","05:00:00",0
448,7499,"songName448","Jazz","05:00:00",0
449,8387,"songName449","Rock","07:00:00",0
450,2475,"songName450","Metal","07:00:00",0
451,4831,"songName451","Classical","06:00:00",0
452,2603,"songName452","Country","06:00:00",0
453,7739,"songName453","Classical","07:00:00",0
454,9907,"songName454","Electronic","05:00:00",0
455,6915,"songName455","Classical","06:00:00",0
456,727,"songName456","Pop","07:00:00",0
457,5736,"songName457","Pop","06:00:00",0
458,8683,"songName458","Pop","05:00:00",0
459,2035,"songName459","Pop","06:00:00",0
460,1223,"songName460","Jazz","05:00:00",0
461,5258,"songName461","Metal","06:00:00",0
462,3670,"songName462","Blues","06:00:00",0
463,5013,"songName463","Hip Hop","05:00:00",0
464,9809,"songName464","Hip Hop","07:00:00",0
465,1391,"songName465","Hip Hop","05:00:00",0
466,6928,"songName466","Jazz","06:00:00",0
467,4758,"songName467","Reggae","06:00:00",0
468,2387,"songName468","Metal","06:00:00",0
469,7631,"songName469","Blues","05:00:00",0
470,2934,"songName470","Blues","07:00:00",0
471,7760,"songName471","Country","07:00:00",0
472,3778,"songName472","Hip Hop","05:00:00",0
473,8293,"songName473","Blues","05:00:00",0
474,8106,"songName474","Blues","05:00:00",0
475,5533,"songName475","Blues","06:00:00",0
476,4346,"songName476","Blues","07:00:00",0
477,3521,"songName477","Metal","06:00:00",0
478,5617,"songName478","Pop","07:00:00",0
479,6595,"songName479","Metal","05:00:00",0
480,4110,"songName480","Blues","07:00:00",0
481,7775,"songName481","Blues","05:00:00",0
482,9295,"songName482","Classical","05:00:00",0
483,7634,"songName483","Electronic","07:00:00",0
484,6167,"songName484","Classical","07:00:00",0
485,2025,"songName485","Rock","06:00:00",0
486,1989,"songName486","Electronic","06:00:00",0
487,2425,"songName487","Hip Hop","05:00:00",0
488,6843,"songName488","Jazz","06:00:00",0
489,9076,"songName489","Jazz","07:00:00",0
490,6364,"songName490","Blues","06:00:00",0
491,4060,"songName491","Metal","05:00:00",0
492,1805,"songName492","Country","07:00:00",0
493,4015,"songName493","Pop","05:00:00",0
494,2633,"songName494","Classical","07:00:00",0
495,875,"songName495","Blues","07:00:00",0
496,1344,"songName496","Electronic","05:00:00",0
497,676,"songName497","Hip Hop","07:00:00",0
498,9982,"songName498","Rock","06:00:00",0
499,2092,"songName499","Electronic","05:00:00",0
500,1969,"songName500","Hip Hop","07:00:00",0
501,2316,"songName501","Country","06:00:00",0
502,1964,"songName502","Blues","07:00:00",0
503,3290,"songName503","Classical","06:00:00",0
504,7506,"songName504","Rock","06:00:00",0
505,6943,"songName505","Jazz","07:00:00",0
506,636,"songName506","Reggae","06:00:00",0
507,1109,"songName507","Electronic","05:00:00",0
508,2053,"songName508","Jazz","05:00:00",0
509,1559,"songName509","Jazz","06:00:00",0
510,6305,"songName510","Rock","05:00:00",0
511,2399,"songName511","Rock","07:00:00",0
512,6080,"songName512","Rock","07:00:00",0
513,1006,"songName513","Rock","05:00:00",0
514,6589,"songName514","Hip Hop","06:00:00",0
515,7422,"songName515","Hip Hop","06:00:00",0
516,8677,"songName516","Metal","05:00:00",0
517,3251,"songName517","Electronic","05:00:00",0
518,5123,"songName518","Blues","07:00:00",0
519,527,"songName519","Electronic","05:00:00",0
520,3131,"songName520","Reggae","06:00:00",0
521,8492,"songName521","Classical","07:00:00",0
522,1619,"songName522","Electronic","05:00:00",0
523,2699,"songName523","Classical","06:00:00",0
524,2068,"songName524","Reggae","05:00:00",0
525,6984,"songName525","Classical","05:00:00",0
526,7571,"songName526","Pop","06:00:00",0
527,3836,"songName527","Hip Hop","06:00:00",0
528,906,"songName528","Blues","05:00:00",0
529,2441,"songName529","Metal","07:00:00",0
530,2251,"songName530","Jazz","06:00:00",0
531,1459,"songName531","Hip Hop","07:00:00",0
532,6476,"songName532","Jazz","05:00:00",0
533,7173,"songName533","Blues","05:00:00",0
534,3208,"songName534","Electronic","07:00:00",0
535,9552,"songName535","Electronic","06:00:00",0
536,6421,"songName536","Blues","05:00:00",0
537,477,"songName537","Blues","05:00:00",0
538,1759,"songName538","Metal","05:00:00",0
539,3197,"songName539","Electronic","07:00:00",0
540,5821,"songName540","Jazz","05:00:00",0
541,1852,"songName541","Classical","07:00:00",0
542,2568,"songName542","Pop","07:00:00",0
543,3071,"songName543","Metal","06:00:00",0
544,3651,"songName544","Hip Hop","06:00:00",0
545,7698,"songName545","Classical","07:00:00",0
546,7607,"songName546","Reggae","06:00:00",0
547,2714,"songName547","Metal","07:00:00",0
548,501,"songName548","Country","06:00:00",0
549,8249,"songName549","Country","07:00:00",0
550,1746,"songName550","Blues","07:00:00",0
551,1545,"songName551","Pop","07:00:00",0
552,6002,"songName552","Metal","05:00:00",0
553,6846,"songName553","Blues","05:00:00",0
554,7898,"songName554","Metal","05:00:00",0
555,2282,"songName555","Metal","07:00:00",0
556,26,"songName556","Rock","07:00:00",0
557,8159,"songName557","Hip Hop","07:00:00",0
558,48,"songName558","Country","07:00:00",0
559,6148,"songName559","Rock","06:00:00",0
560,4330,"songName560","Country","06:00:00",0
561,6038,"songName561","Classical","06:00:00",0
562,5253,"songName562","Pop","06:00:00",0
563,1995,"songName563","Electronic","06:00:00",0
564,4787,"songName564","Rock","07:00:00",0
565,8610,"songName565","Electronic","05:00:00",0
566,9946,"songName566","Blues","05:00:00",0
567,8151,"songName567","Electronic","05:00:00",0
568,4254,"songName568","Metal","05:00:00",0
569,2425,"songName569","Jazz","06:00:00",0
570,4011,"songName570","Pop","06:00:00",0
571,4433,"songName571","Pop","07:00:00",0
572,3474,"songName572","Rock","06:00:00",0
573,5619,"songName573","Blues","07:00:00",0
574,4883,"songName574","Hip Hop","06:00:00",0
575,5161,"songName575","Classical","06:00:00",0
576,2491,"songName576","Blues","05:00:00",0
577,4763,"songName577","Classical","07:00:00",0
578,5407,"songName578","Electronic","05:00:00",0
579,4402,"songName579","Country","07:00:00",0
580,4216,"songName580","Metal","05:00:00",0
581,5788,"songName581","Hip Hop","05:00:00",0
582,6817,"songName582","Jazz","06:00:00",0
583,1343,"songName583","Classical","06:00:00",0
584,2397,"songName584","Reggae","06:00:00",0
585,7572,"songName585","Jazz","06:00:00",0
586,6152,"songName586","Classical","05:00:00",0
587,3693,"songName587","Jazz","07:00:00",0
588,6248,"songName588","Pop","05:00:00",0
589,2088,"songName589","Reggae","07:00:00",0
590,7454,"songName590","Jazz","05:00:00",0
591,1081,"songName591","Classical","06:00:00",0
592,5844,"songName592","Blues","05:00:00",0
593,8988,"songName593","Blues","07:00:00",0
594,5306,"songName594","Rock","05:00:00",0
595,3842,"songName595","Electronic","07:00:00",0
596,9819,"songName596","Hip Hop","05:00:00",0
597,5484,"songName597","Rock","06:00:00",0
598,9717,"songName598","Reggae","06:00:00",0
599,7451,"songName599","Metal","05:00:00",0
600,4384,"songName600","Classical","05:00:00",0
601,776,"songName601","Electronic","06:00:00",0
602,3145,"songName602","Metal","05:00:00",0
603,996,"songName603","Reggae","05:00:00",0
604,1299,"songName604","Jazz","05:00:00",0
605,4256,"songName605","Pop","05:00:00",0
606,4540,"songName606","Electronic","07:00:00",0
607,6882,"songName607","Classical","07:00:00",0
608,815,"songName608","Blues","05:00:00",0
609,9959,"songName609","Rock","05:00:00",0
610,3059,"songName610","Pop","07:00:00",0
611,6883,"songName611","Classical","06:00:00",0
612,9253,"songName612","Blues","05:00:00",0
613,6501,"songName613","Country","06:00:00",0
614,5019,"songName614","Classical","06:00:00",0
615,7742,"songName615","Pop","05:00:00",0
616,3268,"songName616","Pop","06:00:00",0
617,2333,"songName617","Classical","07:00:00",0
618,3043,"songName618","Classical","05:00:00",0
619,6195,"songName619","Country","07:00:00",0
620,8942,"songName620","Electronic","07:00:00",0
621,8344,"songName621","Rock","07:00:00",0
622,8184,"songName622","Rock","06:00:00",0
623,2532,"songName623","Metal","05:00:00",0
