"al_albumid","al_albumname","al_artistid","al_releasedate"
153,"albumName153",3233,"2006-05-25"
154,"albumName154",1548,"1997-09-08"
155,"albumName155",2073,"1975-05-07"
156,"albumName156",1685,"1971-06-21"
157,"albumName157",4524,"1971-07-07"
158,"albumName158",3250,"2057-09-10"
159,"albumName159",25,"2067-12-07"
160,"albumName160",1746,"1983-02-03"
161,"albumName161",3973,"2063-05-15"
162,"albumName162",1079,"2007-09-11"
163,"albumName163",4726,"2009-05-21"
164,"albumName164",991,"1991-12-01"
165,"albumName165",3683,"2058-03-20"
166,"albumName166",1806,"2020-06-05"
167,"albumName167",827,"2017-11-11"
168,"albumName168",130,"1973-01-09"
169,"albumName169",4069,"2062-09-12"
170,"albumName170",2942,"2013-11-03"
171,"albumName171",1314,"2068-05-22"
172,"albumName172",1858,"1972-12-25"
173,"albumName173",368,"1991-06-10"
174,"albumName174",3564,"2068-06-09"
175,"albumName175",2830,"2064-10-10"
176,"albumName176",897,"2064-10-02"
177,"albumName177",3932,"2058-12-27"
178,"albumName178",1370,"2067-08-25"
179,"albumName179",1151,"2005-08-14"
180,"albumName180",154,"2023-09-10"
181,"albumName181",1866,"2057-06-25"
182,"albumName182",2743,"1991-09-04"
183,"albumName183",3588,"1970-10-11"
184,"albumName184",3078,"2055-06-01"
185,"albumName185",2450,"1990-06-10"
186,"albumName186",282,"2008-05-23"
187,"albumName187",488,"2056-05-07"
188,"albumName188",2290,"2014-03-08"
189,"albumName189",890,"2007-12-18"
190,"albumName190",4652,"1975-03-09"
191,"albumName191",816,"2011-06-28"
192,"albumName192",29,"1998-03-27"
193,"albumName193",2089,"1978-03-01"
194,"albumName194",250,"1970-01-19"
195,"albumName195",3183,"2013-01-04"
196,"albumName196",1548,"2054-03-23"
197,"albumName197",2953,"2001-06-03"
198,"albumName198",2918,"1995-09-10"
199,"albumName199",4247,"2011-03-06"
200,"albumName200",1863,"2007-12-08"
201,"albumName201",1753,"1988-04-06"
202,"albumName202",1247,"1996-03-21"
203,"albumName203",356,"2008-02-09"
204,"albumName204",3095,"2061-07-27"
205,"albumName205",1118,"2025-10-11"
206,"albumName206",4396,"2020-11-24"
207,"albumName207",3729,"2018-07-18"
208,"albumName208",2062,"1985-04-21"
209,"albumName209",250,"1992-01-13"
210,"albumName210",2530,"1970-06-12"
211,"albumName211",2693,"1987-06-02"
212,"albumName212",67,"1990-12-16"
213,"albumName213",1507,"2060-06-14"
214,"albumName214",4828,"2016-06-12"
215,"albumName215",2940,"2016-06-25"
216,"albumName216",3551,"2066-03-26"
217,"albumName217",1159,"1998-01-08"
218,"albumName218",1650,"2009-03-06"
219,"albumName219",799,"1971-05-01"
220,"albumName220",4687,"2007-09-20"
221,"albumName221",2436,"1972-11-10"
222,"albumName222",857,"2004-05-28"
223,"albumName223",40,"1997-06-27"
224,"albumName224",3330,"1991-11-06"
225,"albumName225",3693,"2065-06-14"
226,"albumName226",3523,"1983-12-25"
227,"albumName227",3221,"1991-07-15"
228,"albumName228",559,"2021-02-12"
229,"albumName229",665,"1981-09-08"
230,"albumName230",4316,"1971-11-23"
231,"albumName231",1680,"2066-09-21"
232,"albumName232",3280,"2004-09-28"
233,"albumName233",505,"1986-01-04"
234,"albumName234",3067,"2058-01-02"
235,"albumName235",3753,"2058-06-05"
236,"albumName236",2328,"2067-12-04"
237,"albumName237",3190,"1997-12-06"
238,"albumName238",3862,"2012-04-09"
239,"albumName239",3430,"1975-03-14"
240,"albumName240",2288,"2011-04-05"
241,"albumName241",4850,"2004-02-02"
242,"albumName242",891,"1970-08-06"
243,"albumName243",4467,"2019-10-17"
244,"albumName244",4191,"2008-08-06"
245,"albumName245",3675,"2013-05-25"
246,"albumName246",1565,"2062-11-23"
247,"albumName247",3242,"1973-11-02"
248,"albumName248",4182,"2016-04-19"
249,"albumName249",3015,"1988-03-06"
250,"albumName250",2444,"2003-11-04"
251,"albumName251",110,"2023-11-02"
252,"albumName252",156,"2004-06-10"
253,"albumName253",2359,"1987-04-09"
254,"albumName254",3176,"2002-07-02"
255,"albumName255",1799,"1999-06-11"
256,"albumName256",914,"1998-08-03"
257,"albumName257",3713,"2017-10-02"
258,"albumName258",3558,"2002-04-03"
259,"albumName259",4247,"1976-01-19"
260,"albumName260",3125,"2021-12-05"
261,"albumName261",3980,"1985-10-11"
262,"albumName262",4467,"1998-09-24"
263,"albumName263",1184,"2003-06-21"
264,"albumName264",2212,"2062-12-05"
265,"albumName265",1900,"1988-01-09"
266,"albumName266",2444,"1984-06-15"
267,"albumName267",28,"2053-10-16"
268,"albumName268",2724,"2018-04-14"
269,"albumName269",4878,"1988-02-02"
270,"albumName270",1885,"2068-09-17"
271,"albumName271",3142,"1989-09-10"
272,"albumName272",1896,"1970-05-27"
273,"albumName273",249,"1971-06-05"
274,"albumName274",2499,"1985-02-28"
275,"albumName275",3078,"2013-06-22"
276,"albumName276",613,"1975-01-26"
277,"albumName277",2389,"2062-09-26"
278,"albumName278",3808,"2022-02-19"
279,"albumName279",887,"2064-11-12"
280,"albumName280",4128,"1975-11-15"
281,"albumName281",3387,"1974-09-10"
282,"albumName282",360,"1987-12-01"
283,"albumName283",344,"2017-07-03"
284,"albumName284",3614,"1979-10-17"
285,"albumName285",3400,"2023-11-15"
286,"albumName286",3708,"1984-08-15"
287,"albumName287",2275,"2000-11-03"
288,"albumName288",3612,"2017-12-22"
289,"albumName289",1046,"1981-03-18"
290,"albumName290",3623,"2053-01-15"
291,"albumName291",1509,"2058-12-11"
292,"albumName292",2817,"2023-04-04"
293,"albumName293",683,"2054-02-08"
294,"albumName294",1423,"2052-09-03"
295,"albumName295",1938,"2013-03-10"
296,"albumName296",237,"2003-04-14"
297,"albumName297",1068,"1982-03-04"
298,"albumName298",2967,"2012-08-13"
299,"albumName299",1959,"2009-02-16"
300,"albumName300",1380,"1976-03-02"
301,"albumName301",2720,"2020-12-13"
302,"albumName302",1491,"1991-02-19"
303,"albumName303",3238,"2055-10-10"
304,"albumName304",1020,"2000-02-16"
305,"albumName305",2840,"1999-11-08"
306,"albumName306",491,"2012-05-17"
307,"albumName307",2596,"1981-02-09"
308,"albumName308",24,"2011-07-06"
309,"albumName309",1756,"1975-01-03"
310,"albumName310",1219,"1991-12-11"
311,"albumName311",3929,"2062-01-27"
312,"albumName312",434,"2006-04-11"
313,"albumName313",3729,"1978-09-14"
314,"albumName314",778,"2018-12-08"
315,"albumName315",4386,"2065-11-11"
316,"albumName316",2634,"2007-12-03"
317,"albumName317",362,"2060-12-09"
318,"albumName318",3075,"1980-12-19"
319,"albumName319",3472,"2005-03-24"
320,"albumName320",4881,"2002-09-15"
321,"albumName321",827,"2068-11-13"
322,"albumName322",3227,"2020-05-13"
323,"albumName323",2052,"1999-04-16"
324,"albumName324",772,"1996-11-15"
325,"albumName325",3071,"2012-03-20"
326,"albumName326",1036,"1990-11-09"
327,"albumName327",1027,"1993-09-03"
328,"albumName328",784,"2068-10-03"
329,"albumName329",4424,"2006-06-20"
330,"albumName330",4271,"1978-03-09"
331,"albumName331",4491,"2000-02-21"
332,"albumName332",406,"2016-10-26"
333,"albumName333",1152,"1973-09-24"
334,"albumName334",653,"1978-09-10"
335,"albumName335",1471,"2002-08-22"
336,"albumName336",1166,"1979-04-16"
337,"albumName337",3075,"1987-07-27"
338,"albumName338",3083,"1989-06-14"
339,"albumName339",244,"2065-08-07"
340,"albumName340",734,"2051-03-01"
341,"albumName341",2136,"1989-06-02"
342,"albumName342",707,"2016-08-09"
343,"albumName343",2198,"2010-06-14"
344,"albumName344",992,"1988-04-17"
345,"albumName345",4691,"2003-01-13"
346,"albumName346",1167,"2018-10-05"
347,"albumName347",1495,"1970-01-05"
348,"albumName348",1987,"2066-05-08"
349,"albumName349",118,"2008-07-04"
350,"albumName350",1926,"2005-05-11"
351,"albumName351",2302,"1995-07-01"
352,"albumName352",2244,"2002-05-28"
353,"albumName353",2039,"1976-01-13"
354,"albumName354",624,"1981-10-27"
355,"albumName355",1752,"1998-01-26"
356,"albumName356",161,"2024-08-16"
357,"albumName357",2732,"1976-03-28"
358,"albumName358",4561,"1979-03-24"
359,"albumName359",4523,"2057-12-27"
360,"albumName360",2658,"1998-01-12"
361,"albumName361",2619,"1979-08-21"
362,"albumName362",3759,"2005-06-24"
363,"albumName363",592,"2019-02-16"
364,"albumName364",852,"2061-03-06"
365,"albumName365",2285,"2062-04-03"
366,"albumName366",3920,"2025-12-14"
367,"albumName367",2838,"2055-08-23"
368,"albumName368",2565,"1995-10-08"
369,"albumName369",1550,"2060-05-21"
370,"albumName370",3436,"2057-06-02"
371,"albumName371",1783,"1997-01-17"
372,"albumName372",2579,"2062-07-11"
373,"albumName373",1455,"2023-12-05"
374,"albumName374",1075,"2025-11-08"
375,"albumName375",2133,"2006-02-02"
376,"albumName376",4119,"1986-06-03"
377,"albumName377",663,"2024-09-08"
378,"albumName378",203,"2067-03-05"
379,"albumName379",3985,"1984-12-16"
380,"albumName380",1957,"1971-06-24"
381,"albumName381",3193,"2016-03-22"
382,"albumName382",4035,"1985-06-08"
383,"albumName383",2732,"1970-12-07"
384,"albumName384",3055,"2062-05-21"
385,"albumName385",4667,"1999-09-18"
386,"albumName386",2886,"2015-01-04"
387,"albumName387",3245,"2052-03-19"
388,"albumName388",3410,"1999-09-13"
389,"albumName389",299,"2014-10-19"
390,"albumName390",4055,"2053-10-17"
391,"albumName391",1771,"2057-03-21"
392,"albumName392",2314,"2062-06-09"
393,"albumName393",1821,"2053-06-19"
394,"albumName394",1177,"2057-05-27"
395,"albumName395",2123,"2058-06-16"
396,"albumName396",3587,"1982-01-21"
397,"albumName397",2364,"2014-08-26"
398,"albumName398",2199,"1977-11-18"
399,"albumName399",3292,"2017-03-11"
400,"albumName400",176,"2013-01-12"
401,"albumName401",95,"2023-02-24"
402,"albumName402",3474,"1992-03-21"
403,"albumName403",2190,"2055-03-12"
404,"albumName404",763,"2058-09-22"
405,"albumName405",177,"1978-10-23"
406,"albumName406",3260,"1979-01-26"
407,"albumName407",2229,"1972-11-24"
408,"albumName408",4566,"1972-06-16"
409,"albumName409",2887,"2007-05-13"
410,"albumName410",3631,"2023-10-24"
411,"albumName411",941,"1981-12-14"
412,"albumName412",3867,"2067-08-19"
413,"albumName413",3115,"2051-07-19"
414,"albumName414",1730,"2054-01-28"
415,"albumName415",4157,"1991-01-24"
416,"albumName416",1097,"2024-10-02"
417,"albumName417",3133,"2000-06-20"
418,"albumName418",787,"2023-06-11"
419,"albumName419",1913,"1972-10-11"
420,"albumName420",272,"2022-06-21"
421,"albumName421",4046,"2011-07-03"
422,"albumName422",958,"1973-06-27"
423,"albumName423",2628,"2000-07-23"
424,"albumName424",2846,"2057-11-27"
425,"albumName425",1298,"1996-05-04"
426,"albumName426",3847,"2008-11-10"
427,"albumName427",2997,"2065-06-17"
428,"albumName428",698,"1982-02-28"
429,"albumName429",87,"2066-04-26"
430,"albumName430",3863,"2021-04-07"
431,"albumName431",2575,"2011-05-03"
432,"albumName432",2664,"2017-06-25"
433,"albumName433",4053,"1989-08-18"
434,"albumName434",4487,"1983-10-14"
435,"albumName435",3887,"1981-03-23"
436,"albumName436",3250,"2009-12-06"
437,"albumName437",3329,"1975-05-25"
438,"albumName438",4422,"1970-04-18"
439,"albumName439",3310,"2024-01-24"
440,"albumName440",4864,"2005-11-27"
441,"albumName441",2705,"2025-01-26"
442,"albumName442",4681,"2024-04-27"
443,"albumName443",334,"2016-11-08"
444,"albumName444",3753,"2069-09-06"
445,"albumName445",3417,"2006-02-24"
446,"albumName446",4020,"2068-02-22"
447,"albumName447",2870,"2021-09-08"
448,"albumName448",1468,"2016-08-25"
449,"albumName449",209,"2004-11-23"
450,"albumName450",3695,"2001-01-02"
451,"albumName451",2885,"2002-06-23"
452,"albumName452",4848,"1976-04-14"
453,"albumName453",27,"2057-08-24"
454,"albumName454",1449,"2057-07-04"
455,"albumName455",2498,"2013-05-09"
456,"albumName456",1078,"2008-03-28"
457,"albumName457",3818,"2013-07-13"
458,"albumName458",1606,"1975-08-11"
459,"albumName459",4437,"1979-07-21"
460,"albumName460",646,"2019-07-15"
461,"albumName461",4388,"2001-07-04"
462,"albumName462",4495,"2062-09-21"
463,"albumName463",3142,"2057-04-13"
464,"albumName464",4087,"1989-03-10"
465,"albumName465",4040,"2058-10-16"
466,"albumName466",2420,"1980-11-23"
467,"albumName467",3532,"1993-04-13"
468,"albumName468",218,"1990-06-22"
469,"albumName469",4030,"2008-03-16"
470,"albumName470",1853,"2067-04-05"
471,"albumName471",4113,"2016-03-11"
472,"albumName472",1096,"1981-03-24"
473,"albumName473",4452,"2069-09-25"
474,"albumName474",174,"1971-12-15"
475,"albumName475",3350,"1986-11-25"
476,"albumName476",3336,"1975-05-11"
477,"albumName477",2874,"1983-01-06"
478,"albumName478",4179,"1973-10-15"
479,"albumName479",943,"2012-10-12"
480,"albumName480",4186,"1981-11-27"
481,"albumName481",2411,"2062-11-10"
482,"albumName482",4181,"2019-01-17"
483,"albumName483",577,"1987-06-15"
484,"albumName484",720,"2023-06-23"
485,"albumName485",4754,"1980-03-03"
486,"albumName486",647,"2066-04-15"
487,"albumName487",1032,"2014-04-04"
488,"albumName488",632,"1980-10-25"
489,"albumName489",4148,"2019-07-09"
490,"albumName490",3265,"1984-01-14"
491,"albumName491",1047,"2017-04-09"
492,"albumName492",3249,"1979-11-24"
493,"albumName493",3108,"2008-12-04"
494,"albumName494",4549,"2067-07-11"
495,"albumName495",557,"2002-11-13"
496,"albumName496",1508,"2012-03-01"
497,"albumName497",445,"1996-10-26"
498,"albumName498",2198,"1989-09-01"
499,"albumName499",42,"2014-02-02"
500,"albumName500",3430,"2002-07-06"
501,"albumName501",1962,"1982-04-04"
502,"albumName502",213,"1988-05-15"
503,"albumName503",2131,"2022-11-19"
504,"albumName504",2960,"2001-07-05"
505,"albumName505",2414,"1981-11-17"
506,"albumName506",2010,"1971-12-06"
507,"albumName507",3753,"1985-11-27"
508,"albumName508",351,"1976-03-04"
509,"albumName509",1278,"2004-02-11"
510,"albumName510",2690,"2055-12-14"
511,"albumName511",988,"2061-12-08"
512,"albumName512",1483,"2023-10-01"
513,"albumName513",3217,"2013-12-15"
514,"albumName514",2944,"2017-03-01"
515,"albumName515",4780,"2060-08-20"
516,"albumName516",3658,"1981-06-25"
517,"albumName517",565,"2013-08-22"
518,"albumName518",1483,"2003-05-07"
519,"albumName519",3861,"1979-01-10"
520,"albumName520",2990,"1982-05-01"
521,"albumName521",1991,"2009-12-06"
522,"albumName522",3389,"2016-02-26"
523,"albumName523",315,"1998-01-21"
524,"albumName524",1616,"2052-11-10"
525,"albumName525",1170,"2057-08-06"
526,"albumName526",3734,"2068-10-08"
527,"albumName527",3386,"1985-08-27"
528,"albumName528",380,"1981-08-10"
529,"albumName529",4864,"2009-03-24"
530,"albumName530",1425,"2061-12-04"
531,"albumName531",2520,"2053-06-26"
532,"albumName532",1375,"1972-07-19"
533,"albumName533",1347,"1978-05-19"
534,"albumName534",202,"1976-05-24"
535,"albumName535",4537,"2004-12-22"
536,"albumName536",4225,"1987-03-14"
537,"albumName537",1229,"1971-09-08"
538,"albumName538",1317,"2000-04-18"
539,"albumName539",115,"1970-08-22"
540,"albumName540",59,"2024-04-22"
541,"albumName541",1130,"2062-10-22"
542,"albumName542",4898,"2013-08-08"
543,"albumName543",607,"1999-02-08"
544,"albumName544",1298,"2023-05-28"
545,"albumName545",286,"2022-08-26"
546,"albumName546",1686,"1978-10-19"
547,"albumName547",3149,"2015-06-06"
548,"albumName548",4704,"2067-04-21"
549,"albumName549",577,"1988-03-13"
550,"albumName550",1635,"1981-02-01"
551,"albumName551",4536,"1990-04-22"
552,"albumName552",3504,"1982-12-19"
553,"albumName553",4807,"2000-09-14"
554,"albumName554",1289,"1974-04-24"
555,"albumName555",4748,"1970-07-16"
556,"albumName556",4160,"2017-09-05"
557,"albumName557",2166,"2013-02-20"
558,"albumName558",1393,"2053-10-16"
559,"albumName559",4582,"2057-09-10"
560,"albumName560",4773,"2007-09-04"
561,"albumName561",1926,"1987-06-13"
562,"albumName562",4704,"2052-06-28"
563,"albumName563",1770,"2053-03-06"
564,"albumName564",1738,"2006-07-01"
565,"albumName565",4758,"1985-10-27"
566,"albumName566",1170,"2019-10-10"
567,"albumName567",225,"1974-01-02"
568,"albumName568",2450,"2066-07-17"
569,"albumName569",337,"2052-12-17"
570,"albumName570",3932,"2018-01-06"
571,"albumName571",2030,"1971-10-15"
572,"albumName572",4662,"1998-08-11"
573,"albumName573",2963,"2019-01-07"
574,"albumName574",4490,"1975-04-03"
575,"albumName575",2946,"2054-01-20"
576,"albumName576",1237,"2053-08-13"
577,"albumName577",949,"1977-12-27"
578,"albumName578",1052,"1986-02-27"
579,"albumName579",3477,"1987-06-27"
580,"albumName580",2107,"2068-04-24"
581,"albumName581",872,"2012-09-16"
582,"albumName582",585,"1974-08-10"
583,"albumName583",1872,"2068-07-01"
584,"albumName584",279,"2019-02-18"
585,"albumName585",4182,"2009-09-18"
586,"albumName586",2357,"2004-02-25"
587,"albumName587",4470,"1991-11-06"
588,"albumName588",3278,"2023-03-21"
589,"albumName589",3093,"2051-06-18"
590,"albumName590",4228,"2060-05-12"
591,"albumName591",2883,"2058-07-16"
592,"albumName592",736,"2059-05-09"
593,"albumName593",1487,"2060-07-04"
594,"albumName594",1322,"2069-03-08"
595,"albumName595",3392,"2018-12-04"
596,"albumName596",414,"2001-04-28"
597,"albumName597",1531,"1973-11-27"
598,"albumName598",558,"2024-08-15"
599,"albumName599",3562,"1978-09-22"
600,"albumName600",1691,"2053-04-05"
601,"albumName601",1966,"2021-08-07"
602,"albumName602",3719,"2062-06-01"
603,"albumName603",474,"2000-09-27"
604,"albumName604",1860,"2014-05-16"
605,"albumName605",4762,"2064-03-06"
606,"albumName606",2096,"1993-01-22"
607,"albumName607",4129,"1988-07-10"
608,"albumName608",2326,"2060-08-06"
609,"albumName609",4410,"2009-04-25"
610,"albumName610",4639,"2065-05-18"
611,"albumName611",2663,"1995-01-06"
612,"albumName612",3084,"2016-09-27"
613,"albumName613",262,"2002-02-14"
614,"albumName614",182,"2053-04-08"
615,"albumName615",223,"2017-08-21"
616,"albumName616",2352,"1997-05-17"
617,"albumName617",1602,"1986-01-07"
618,"albumName618",958,"2021-08-01"
619,"albumName619",3711,"1995-06-08"
620,"albumName620",2040,"1987-06-12"
621,"albumName621",3616,"2009-03-02"
622,"albumName622",3351,"2024-05-19"
623,"albumName623",3524,"2053-08-17"
624,"albumName624",4474,"2062-03-13"
625,"albumName625",2309,"2006-02-13"
626,"albumName626",740,"1972-03-03"
627,"albumName627",3709,"1984-08-24"
628,"albumName628",1947,"2068-10-27"
629,"albumName629",1195,"2008-02-08"
630,"albumName630",4795,"2065-05-03"
631,"albumName631",4575,"2052-05-24"
632,"albumName632",92,"2068-06-27"
633,"albumName633",1833,"1972-10-09"
634,"albumName634",4544,"2022-09-27"
635,"albumName635",4874,"2016-01-03"
636,"albumName636",3525,"1998-11-02"
637,"albumName637",754,"2007-10-02"
638,"albumName638",4577,"1979-11-05"
639,"albumName639",4193,"2008-02-07"
640,"albumName640",898,"2016-06-03"
641,"albumName641",3240,"2053-11-08"
642,"albumName642",3178,"1999-03-02"
643,"albumName643",1196,"1984-12-16"
644,"albumName644",4210,"1999-03-15"
645,"albumName645",1559,"1996-08-07"
646,"albumName646",656,"1988-05-21"
647,"albumName647",2631,"2010-02-13"
648,"albumName648",580,"1983-08-22"
649,"albumName649",846,"2064-03-28"
650,"albumName650",1596,"2015-04-22"
651,"albumName651",1656,"2012-11-08"
652,"albumName652",3527,"2006-09-01"
653,"albumName653",1973,"1971-10-17"
654,"albumName654",1037,"1985-08-24"
655,"albumName655",155,"1991-02-10"
656,"albumName656",1496,"2020-07-05"
657,"albumName657",1863,"2014-05-04"
658,"albumName658",4568,"2056-09-27"
659,"albumName659",4597,"1975-04-03"
660,"albumName660",1505,"2068-11-01"
661,"albumName661",1454,"2051-03-23"
662,"albumName662",758,"1998-08-13"
663,"albumName663",2440,"2016-11-08"
664,"albumName664",125,"2054-08-26"
665,"albumName665",2823,"1990-07-26"
666,"albumName666",2719,"1993-03-15"
667,"albumName667",772,"1990-10-12"
668,"albumName668",3102,"2012-06-22"
669,"albumName669",3776,"1973-02-19"
670,"albumName670",72,"2021-06-25"
671,"albumName671",3831,"2025-11-14"
672,"albumName672",596,"2008-08-03"
673,"albumName673",3017,"1976-11-28"
674,"albumName674",3471,"1987-04-15"
675,"albumName675",285,"1997-05-23"
676,"albumName676",3103,"1988-09-18"
677,"albumName677",466,"1985-01-08"
678,"albumName678",1924,"1991-09-01"
679,"albumName679",4125,"2011-07-01"
680,"albumName680",1421,"2055-08-04"
681,"albumName681",849,"2061-09-18"
682,"albumName682",3851,"1977-06-25"
683,"albumName683",1276,"1987-10-17"
684,"albumName684",3002,"1979-11-02"
685,"albumName685",2215,"2002-07-26"
686,"albumName686",4707,"2017-03-17"
687,"albumName687",74,"1988-10-14"
688,"albumName688",3884,"2013-12-19"
689,"albumName689",3166,"2065-02-13"
690,"albumName690",1818,"2052-07-02"
691,"albumName691",2753,"2024-03-24"
692,"albumName692",1240,"1988-08-27"
693,"albumName693",123,"2020-12-19"
694,"albumName694",3071,"2051-04-05"
695,"albumName695",561,"1986-10-08"
696,"albumName696",2150,"2013-06-18"
697,"albumName697",4816,"2000-01-18"
698,"albumName698",4510,"2054-06-19"
699,"albumName699",4059,"2021-08-05"
700,"albumName700",1026,"2020-01-09"
701,"albumName701",2146,"2060-02-24"
702,"albumName702",2271,"1978-10-24"
703,"albumName703",2091,"1981-08-28"
704,"albumName704",2898,"2003-12-23"
705,"albumName705",467,"2064-02-22"
