"a_artistid","a_artistname","a_country","a_genre","a_userid"
64,"artistName64","GERMANY","Rock",138
65,"artistName65","GERMANY","Metal",141
66,"artistName66","MEXICO","Country",145
67,"artistName67","MEXICO","Reggae",149
68,"artistName68","CHINA","Classical",150
69,"artistName69","RUSSIA","Country",151
70,"artistName70","MEXICO","Rock",154
71,"artistName71","RUSSIA","Metal",159
72,"artistName72","CHINA","Blues",161
73,"artistName73","CANADA","Country",162
74,"artistName74","USA","Reggae",163
75,"artistName75","MEXICO","Electronic",164
76,"artistName76","CANADA","Country",165
77,"artistName77","USA","Country",170
78,"artistName78","CANADA","Reggae",172
79,"artistName79","GERMANY","Jazz",177
80,"artistName80","AUSTRALIA","Jazz",178
81,"artistName81","AUSTRALIA","Classical",182
82,"artistName82","RUSSIA","Metal",188
83,"artistName83","MEXICO","Hip Hop",191
84,"artistName84","USA","Classical",192
85,"artistName85","MEXICO","Jazz",193
86,"artistName86","RUSSIA","Jazz",194
87,"artistName87","GERMANY","Pop",199
88,"artistName88","GERMANY","Electronic",201
89,"artistName89","CANADA","Hip Hop",202
90,"artistName90","CANADA","Reggae",209
91,"artistName91","RUSSIA","Rock",211
92,"artistName92","CHINA","Classical",214
93,"artistName93","GERMANY","Blues",215
94,"artistName94","RUSSIA","Country",216
95,"artistName95","AUSTRALIA","Electronic",217
96,"artistName96","CHINA","Electronic",219
97,"artistName97","AUSTRALIA","Metal",220
98,"artistName98","CHINA","Reggae",224
99,"artistName99","CANADA","Classical",229
100,"artistName100","AUSTRALIA","Reggae",230
101,"artistName101","CHINA","Rock",232
102,"artistName102","CANADA","Metal",233
103,"artistName103","GERMANY","Classical",234
104,"artistName104","MEXICO","Hip Hop",238
105,"artistName105","RUSSIA","Metal",239
106,"artistName106","CHINA","Reggae",241
107,"artistName107","CHINA","Rock",242
108,"artistName108","GERMANY","Metal",245
109,"artistName109","RUSSIA","Reggae",249
110,"artistName110","CANADA","Metal",251
111,"artistName111","GERMANY","Electronic",255
112,"artistName112","CHINA","Jazz",256
113,"artistName113","USA","Rock",260
114,"artistName114","AUSTRALIA","Metal",261
115,"artistName115","CHINA","Rock",266
116,"artistName116","USA","Blues",268
117,"artistName117","CHINA","Pop",270
118,"artistName118","AUSTRALIA","Blues",271
119,"artistName119","CANADA","Rock",274
120,"artistName120","CANADA","Reggae",275
121,"artistName121","AUSTRALIA","Blues",279
122,"artistName122","AUSTRALIA","Metal",281
123,"artistName123","CHINA","Country",283
124,"artistName124","CHINA","Blues",284
125,"artistName125","AUSTRALIA","Reggae",285
126,"artistName126","CANADA","Rock",287
127,"artistName127","CANADA","Blues",288
128,"artistName128","AUSTRALIA","Metal",289
129,"artistName129","CHINA","Pop",291
130,"artistName130","MEXICO","Reggae",293
131,"artistName131","GERMANY","Electronic",295
132,"artistName132","AUSTRALIA","Classical",298
133,"artistName133","AUSTRALIA","Rock",301
134,"artistName134","RUSSIA","Pop",306
135,"artistName135","MEXICO","Jazz",307
136,"artistName136","RUSSIA","Jazz",308
137,"artistName137","MEXICO","Reggae",309
138,"artistName138","CANADA","Blues",310
139,"artistName139","CHINA","Reggae",311
140,"artistName140","CHINA","Blues",313
141,"artistName141","USA","Country",317
142,"artistName142","MEXICO","Jazz",318
143,"artistName143","AUSTRALIA","Hip Hop",322
144,"artistName144","CHINA","Rock",325
145,"artistName145","RUSSIA","Hip Hop",326
146,"artistName146","CANADA","Jazz",327
147,"artistName147","CANADA","Country",330
148,"artistName148","MEXICO","Jazz",331
149,"artistName149","USA","Pop",334
150,"artistName150","AUSTRALIA","Rock",337
151,"artistName151","USA","Pop",338
152,"artistName152","CANADA","Reggae",340
153,"artistName153","USA","Blues",341
154,"artistName154","AUSTRALIA","Jazz",345
155,"artistName155","CHINA","Reggae",346
156,"artistName156","CHINA","Reggae",348
157,"artistName157","AUSTRALIA","Electronic",352
158,"artistName158","CHINA","Metal",355
159,"artistName159","GERMANY","Jazz",357
160,"artistName160","RUSSIA","Jazz",358
161,"artistName161","CHINA","Electronic",359
162,"artistName162","CHINA","Pop",360
163,"artistName163","AUSTRALIA","Classical",364
164,"artistName164","USA","Jazz",365
165,"artistName165","AUSTRALIA","Jazz",366
166,"artistName166","MEXICO","Electronic",367
167,"artistName167","RUSSIA","Hip Hop",368
168,"artistName168","USA","Rock",369
169,"artistName169","GERMANY","Rock",371
170,"artistName170","AUSTRALIA","Jazz",372
171,"artistName171","GERMANY","Rock",373
172,"artistName172","CHINA","Jazz",374
173,"artistName173","GERMANY","Rock",376
174,"artistName174","GERMANY","Rock",377
175,"artistName175","CANADA","Pop",379
176,"artistName176","CHINA","Blues",384
177,"artistName177","GERMANY","Rock",388
178,"artistName178","CANADA","Reggae",392
179,"artistName179","GERMANY","Country",400
180,"artistName180","CANADA","Rock",402
181,"artistName181","GERMANY","Hip Hop",403
182,"artistName182","GERMANY","Jazz",404
183,"artistName183","MEXICO","Pop",407
184,"artistName184","AUSTRALIA","Rock",409
185,"artistName185","USA","Reggae",410
186,"artistName186","AUSTRALIA","Electronic",411
187,"artistName187","RUSSIA","Jazz",413
188,"artistName188","CANADA","Pop",419
189,"artistName189","AUSTRALIA","Blues",422
190,"artistName190","RUSSIA","Pop",425
191,"artistName191","MEXICO","Rock",427
192,"artistName192","AUSTRALIA","Reggae",428
193,"artistName193","MEXICO","Hip Hop",429
194,"artistName194","USA","Electronic",431
195,"artistName195","USA","Rock",436
196,"artistName196","CANADA","Hip Hop",438
197,"artistName197","MEXICO","Jazz",440
198,"artistName198","CANADA","Metal",444
199,"artistName199","CHINA","Classical",447
200,"artistName200","GERMANY","Electronic",448
201,"artistName201","GERMANY","Pop",451
202,"artistName202","GERMANY","Hip Hop",455
203,"artistName203","GERMANY","Classical",457
204,"artistName204","RUSSIA","Hip Hop",458
205,"artistName205","USA","Country",459
206,"artistName206","GERMANY","Hip Hop",460
207,"artistName207","CANADA","Rock",462
208,"artistName208","USA","Hip Hop",463
209,"artistName209","CANADA","Hip Hop",465
210,"artistName210","CHINA","Classical",467
211,"artistName211","GERMANY","Metal",471
212,"artistName212","GERMANY","Classical",474
213,"artistName213","CHINA","Rock",475
214,"artistName214","AUSTRALIA","Rock",479
215,"artistName215","CHINA","Country",481
216,"artistName216","CHINA","Metal",482
217,"artistName217","MEXICO","Metal",488
218,"artistName218","RUSSIA","Country",489
219,"artistName219","RUSSIA","Country",490
220,"artistName220","USA","Jazz",494
221,"artistName221","CANADA","Classical",496
222,"artistName222","GERMANY","Country",498
223,"artistName223","AUSTRALIA","Hip Hop",499
224,"artistName224","CHINA","Jazz",500
225,"artistName225","USA","Hip Hop",506
226,"artistName226","MEXICO","Blues",507
227,"artistName227","CANADA","Blues",508
228,"artistName228","RUSSIA","Jazz",511
229,"artistName229","CANADA","Reggae",512
230,"artistName230","RUSSIA","Rock",514
231,"artistName231","CHINA","Rock",515
232,"artistName232","CHINA","Pop",516
233,"artistName233","CANADA","Reggae",517
234,"artistName234","USA","Classical",518
235,"artistName235","RUSSIA","Rock",519
236,"artistName236","USA","Hip Hop",520
237,"artistName237","RUSSIA","Rock",523
238,"artistName238","CANADA","Blues",524
239,"artistName239","CANADA","Metal",525
240,"artistName240","USA","Electronic",528
241,"artistName241","RUSSIA","Pop",532
242,"artistName242","CANADA","Jazz",534
243,"artistName243","CHINA","Country",535
244,"artistName244","USA","Electronic",540
245,"artistName245","MEXICO","Electronic",541
246,"artistName246","RUSSIA","Jazz",542
247,"artistName247","GERMANY","Blues",545
248,"artistName248","GERMANY","Pop",546
249,"artistName249","AUSTRALIA","Blues",550
250,"artistName250","GERMANY","Classical",551
251,"artistName251","MEXICO","Classical",552
252,"artistName252","CHINA","Metal",554
253,"artistName253","AUSTRALIA","Country",556
254,"artistName254","RUSSIA","Blues",557
255,"artistName255","AUSTRALIA","Country",563
256,"artistName256","RUSSIA","Country",565
257,"artistName257","CANADA","Reggae",566
258,"artistName258","CANADA","Pop",570
259,"artistName259","CHINA","Classical",578
260,"artistName260","CANADA","Country",579
261,"artistName261","AUSTRALIA","Hip Hop",580
262,"artistName262","USA","Blues",582
263,"artistName263","AUSTRALIA","Metal",583
264,"artistName264","CANADA","Hip Hop",584
265,"artistName265","USA","Electronic",588
266,"artistName266","AUSTRALIA","Classical",589
267,"artistName267","AUSTRALIA","Hip Hop",590
268,"artistName268","AUSTRALIA","Reggae",593
269,"artistName269","USA","Rock",596
270,"artistName270","CANADA","Rock",597
271,"artistName271","AUSTRALIA","Electronic",600
272,"artistName272","AUSTRALIA","Classical",608
273,"artistName273","USA","Jazz",609
274,"artistName274","GERMANY","Rock",611
275,"artistName275","AUSTRALIA","Jazz",612
276,"artistName276","GERMANY","Jazz",613
277,"artistName277","USA","Pop",615
278,"artistName278","AUSTRALIA","Rock",617
279,"artistName279","AUSTRALIA","Blues",619
280,"artistName280","CANADA","Classical",620
281,"artistName281","RUSSIA","Country",625
282,"artistName282","MEXICO","Pop",627
283,"artistName283","USA","Metal",628
284,"artistName284","CHINA","Hip Hop",635
285,"artistName285","GERMANY","Reggae",637
286,"artistName286","GERMANY","Jazz",639
287,"artistName287","CHINA","Electronic",640
288,"artistName288","MEXICO","Pop",642
289,"artistName289","CHINA","Classical",643
290,"artistName290","CHINA","Reggae",645
291,"artistName291","RUSSIA","Country",646
292,"artistName292","AUSTRALIA","Electronic",648
293,"artistName293","CANADA","Rock",649
294,"artistName294","USA","Jazz",652
295,"artistName295","CHINA","Reggae",653
296,"artistName296","CANADA","Country",654
297,"artistName297","CHINA","Pop",655
298,"artistName298","USA","Pop",656
299,"artistName299","CANADA","Country",658
300,"artistName300","CHINA","Blues",660
301,"artistName301","MEXICO","Hip Hop",662
302,"artistName302","RUSSIA","Blues",663
303,"artistName303","GERMANY","Metal",664
304,"artistName304","CHINA","Reggae",669
305,"artistName305","CHINA","Hip Hop",670
306,"artistName306","CHINA","Country",673
307,"artistName307","CHINA","Rock",675
308,"artistName308","CHINA","Classical",683
309,"artistName309","CANADA","Blues",685
310,"artistName310","GERMANY","Blues",687
311,"artistName311","CANADA","Jazz",691
312,"artistName312","RUSSIA","Metal",692
313,"artistName313","AUSTRALIA","Electronic",693
314,"artistName314","USA","Country",695
315,"artistName315","RUSSIA","Rock",698
316,"artistName316","CANADA","Reggae",699
317,"artistName317","CHINA","Rock",701
318,"artistName318","CANADA","Classical",702
319,"artistName319","AUSTRALIA","Rock",703
320,"artistName320","MEXICO","Jazz",704
321,"artistName321","CANADA","Pop",706
322,"artistName322","AUSTRALIA","Electronic",707
323,"artistName323","MEXICO","Jazz",709
324,"artistName324","RUSSIA","Electronic",711
325,"artistName325","CHINA","Classical",712
326,"artistName326","AUSTRALIA","Metal",714
327,"artistName327","RUSSIA","Jazz",719
328,"artistName328","GERMANY","Jazz",720
329,"artistName329","USA","Metal",726
330,"artistName330","MEXICO","Metal",729
331,"artistName331","CHINA","Blues",734
332,"artistName332","AUSTRALIA","Rock",737
333,"artistName333","GERMANY","Pop",740
334,"artistName334","CANADA","Hip Hop",741
335,"artistName335","MEXICO","Metal",743
336,"artistName336","AUSTRALIA","Metal",747
337,"artistName337","RUSSIA","Reggae",748
338,"artistName338","RUSSIA","Classical",749
339,"artistName339","CANADA","Metal",750
340,"artistName340","AUSTRALIA","Country",752
341,"artistName341","USA","Blues",754
342,"artistName342","RUSSIA","Metal",755
343,"artistName343","USA","Reggae",757
344,"artistName344","USA","Pop",758
345,"artistName345","CHINA","Classical",759
346,"artistName346","RUSSIA","Metal",760
347,"artistName347","GERMANY","Metal",761
348,"artistName348","CANADA","Classical",762
349,"artistName349","CANADA","Pop",763
350,"artistName350","USA","Jazz",764
351,"artistName351","AUSTRALIA","Country",771
352,"artistName352","MEXICO","Hip Hop",772
353,"artistName353","CANADA","Country",773
354,"artistName354","GERMANY","Classical",774
355,"artistName355","CANADA","Reggae",775
356,"artistName356","CHINA","Electronic",779
357,"artistName357","MEXICO","Pop",781
358,"artistName358","AUSTRALIA","Blues",782
359,"artistName359","AUSTRALIA","Blues",784
360,"artistName360","USA","Blues",786
361,"artistName361","USA","Rock",787
362,"artistName362","MEXICO","Blues",788
363,"artistName363","MEXICO","Blues",789
364,"artistName364","RUSSIA","Hip Hop",790
365,"artistName365","MEXICO","Jazz",791
366,"artistName366","USA","Jazz",792
367,"artistName367","USA","Electronic",794
368,"artistName368","USA","Classical",797
369,"artistName369","CANADA","Hip Hop",798
370,"artistName370","MEXICO","Hip Hop",799
371,"artistName371","USA","Metal",800
372,"artistName372","AUSTRALIA","Electronic",801
373,"artistName373","MEXICO","Hip Hop",802
374,"artistName374","GERMANY","Pop",805
375,"artistName375","CHINA","Rock",806
376,"artistName376","USA","Pop",807
377,"artistName377","CHINA","Jazz",809
378,"artistName378","GERMANY","Pop",812
379,"artistName379","CHINA","Jazz",813
380,"artistName380","MEXICO","Classical",814
381,"artistName381","AUSTRALIA","Blues",818
382,"artistName382","RUSSIA","Rock",822
383,"artistName383","GERMANY","Classical",826
384,"artistName384","RUSSIA","Blues",827
385,"artistName385","MEXICO","Jazz",828
386,"artistName386","CANADA","Blues",833
387,"artistName387","GERMANY","Metal",834
388,"artistName388","USA","Blues",837
389,"artistName389","GERMANY","Electronic",838
390,"artistName390","USA","Reggae",841
391,"artistName391","CHINA","Pop",842
392,"artistName392","CANADA","Metal",843
393,"artistName393","USA","Electronic",844
394,"artistName394","CHINA","Blues",846
395,"artistName395","CHINA","Blues",847
396,"artistName396","GERMANY","Metal",849
397,"artistName397","MEXICO","Rock",850
398,"artistName398","RUSSIA","Rock",852
399,"artistName399","CHINA","Classical",853
400,"artistName400","MEXICO","Reggae",854
401,"artistName401","USA","Metal",856
402,"artistName402","GERMANY","Blues",858
403,"artistName403","CANADA","Classical",859
404,"artistName404","RUSSIA","Pop",860
405,"artistName405","CHINA","Country",862
406,"artistName406","GERMANY","Blues",864
407,"artistName407","CANADA","Blues",865
408,"artistName408","CHINA","Classical",867
409,"artistName409","MEXICO","Jazz",870
410,"artistName410","AUSTRALIA","Classical",872
411,"artistName411","MEXICO","Rock",878
412,"artistName412","MEXICO","Hip Hop",879
413,"artistName413","GERMANY","Blues",880
414,"artistName414","GERMANY","Pop",882
415,"artistName415","USA","Pop",883
416,"artistName416","MEXICO","Metal",884
417,"artistName417","CHINA","Blues",885
418,"artistName418","CHINA","Electronic",887
419,"artistName419","CHINA","Electronic",888
420,"artistName420","USA","Blues",889
421,"artistName421","RUSSIA","Hip Hop",891
422,"artistName422","GERMANY","Blues",892
423,"artistName423","CANADA","Electronic",894
424,"artistName424","GERMANY","Rock",895
425,"artistName425","RUSSIA","Blues",896
426,"artistName426","AUSTRALIA","Metal",898
427,"artistName427","AUSTRALIA","Pop",899
428,"artistName428","RUSSIA","Electronic",900
429,"artistName429","CANADA","Jazz",905
430,"artistName430","MEXICO","Reggae",911
431,"artistName431","USA","Country",912
432,"artistName432","RUSSIA","Reggae",913
433,"artistName433","AUSTRALIA","Electronic",915
434,"artistName434","AUSTRALIA","Country",916
435,"artistName435","USA","Reggae",919
436,"artistName436","USA","Pop",920
437,"artistName437","USA","Hip Hop",922
438,"artistName438","CANADA","Blues",924
439,"artistName439","USA","Rock",925
440,"artistName440","RUSSIA","Country",926
441,"artistName441","RUSSIA","Blues",928
442,"artistName442","USA","Rock",929
443,"artistName443","USA","Jazz",930
444,"artistName444","MEXICO","Classical",933
445,"artistName445","CHINA","Rock",934
446,"artistName446","CANADA","Blues",935
447,"artistName447","USA","Metal",937
448,"artistName448","GERMANY","Pop",938
449,"artistName449","RUSSIA","Classical",941
450,"artistName450","MEXICO","Jazz",942
451,"artistName451","GERMANY","Country",943
452,"artistName452","AUSTRALIA","Country",945
453,"artistName453","CHINA","Rock",946
454,"artistName454","GERMANY","Pop",947
455,"artistName455","CANADA","Pop",948
456,"artistName456","CHINA","Reggae",949
457,"artistName457","GERMANY","Classical",954
458,"artistName458","MEXICO","Electronic",957
459,"artistName459","CANADA","Reggae",958
460,"artistName460","AUSTRALIA","Hip Hop",959
461,"artistName461","GERMANY","Rock",960
462,"artistName462","RUSSIA","Pop",961
463,"artistName463","USA","Blues",962
464,"artistName464","MEXICO","Classical",963
465,"artistName465","GERMANY","Jazz",964
466,"artistName466","CANADA","Country",969
467,"artistName467","GERMANY","Hip Hop",971
468,"artistName468","CANADA","Pop",974
469,"artistName469","CHINA","Hip Hop",975
470,"artistName470","MEXICO","Classical",977
471,"artistName471","GERMANY","Blues",979
472,"artistName472","CHINA","Metal",980
473,"artistName473","MEXICO","Metal",983
474,"artistName474","USA","Blues",984
475,"artistName475","RUSSIA","Hip Hop",985
476,"artistName476","CHINA","Rock",987
477,"artistName477","USA","Pop",988
478,"artistName478","RUSSIA","Country",989
479,"artistName479","AUSTRALIA","Blues",990
480,"artistName480","USA","Blues",992
481,"artistName481","RUSSIA","Classical",1000
482,"artistName482","CHINA","Pop",1001
483,"artistName483","AUSTRALIA","Metal",1003
484,"artistName484","AUSTRALIA","Electronic",1004
485,"artistName485","MEXICO","Jazz",1007
486,"artistName486","USA","Rock",1010
487,"artistName487","AUSTRALIA","Country",1011
488,"artistName488","RUSSIA","Metal",1013
489,"artistName489","AUSTRALIA","Blues",1015
490,"artistName490","GERMANY","Country",1016
491,"artistName491","GERMANY","Classical",1018
492,"artistName492","CANADA","Jazz",1019
493,"artistName493","RUSSIA","Classical",1020
494,"artistName494","USA","Rock",1021
495,"artistName495","CANADA","Country",1024
496,"artistName496","CHINA","Metal",1025
497,"artistName497","MEXICO","Pop",1026
498,"artistName498","RUSSIA","Pop",1027
499,"artistName499","RUSSIA","Jazz",1028
500,"artistName500","RUSSIA","Pop",1029
501,"artistName501","MEXICO","Reggae",1030
502,"artistName502","AUSTRALIA","Blues",1032
503,"artistName503","CHINA","Country",1037
504,"artistName504","RUSSIA","Country",1038
505,"artistName505","GERMANY","Rock",1041
506,"artistName506","USA","Blues",1043
507,"artistName507","GERMANY","Blues",1046
508,"artistName508","AUSTRALIA","Classical",1048
509,"artistName509","CANADA","Metal",1050
510,"artistName510","AUSTRALIA","Pop",1052
511,"artistName511","AUSTRALIA","Pop",1056
512,"artistName512","USA","Pop",1062
513,"artistName513","GERMANY","Pop",1063
514,"artistName514","GERMANY","Classical",1064
515,"artistName515","GERMANY","Electronic",1065
516,"artistName516","GERMANY","Electronic",1070
517,"artistName517","CHINA","Hip Hop",1073
518,"artistName518","RUSSIA","Classical",1075
519,"artistName519","CHINA","Jazz",1078
520,"artistName520","RUSSIA","Electronic",1080
521,"artistName521","RUSSIA","Hip Hop",1081
522,"artistName522","AUSTRALIA","Jazz",1082
523,"artistName523","RUSSIA","Country",1083
524,"artistName524","MEXICO","Blues",1085
525,"artistName525","MEXICO","Classical",1086
526,"artistName526","USA","Classical",1092
527,"artistName527","MEXICO","Blues",1095
528,"artistName528","AUSTRALIA","Electronic",1096
529,"artistName529","USA","Country",1100
530,"artistName530","RUSSIA","Country",1101
531,"artistName531","RUSSIA","Reggae",1103
532,"artistName532","GERMANY","Reggae",1104
533,"artistName533","CANADA","Metal",1107
534,"artistName534","RUSSIA","Rock",1108
535,"artistName535","MEXICO","Classical",1109
536,"artistName536","CANADA","Rock",1112
537,"artistName537","CHINA","Blues",1113
538,"artistName538","CANADA","Electronic",1114
539,"artistName539","GERMANY","Pop",1116
540,"artistName540","RUSSIA","Blues",1119
541,"artistName541","MEXICO","Electronic",1120
542,"artistName542","CHINA","Pop",1121
543,"artistName543","CANADA","Rock",1122
544,"artistName544","MEXICO","Rock",1124
545,"artistName545","MEXICO","Electronic",1127
546,"artistName546","MEXICO","Electronic",1129
547,"artistName547","AUSTRALIA","Electronic",1130
548,"artistName548","GERMANY","Electronic",1131
549,"artistName549","AUSTRALIA","Metal",1133
550,"artistName550","AUSTRALIA","Blues",1134
551,"artistName551","RUSSIA","Rock",1136
552,"artistName552","AUSTRALIA","Classical",1138
553,"artistName553","CHINA","Jazz",1145
554,"artistName554","GERMANY","Classical",1146
555,"artistName555","CHINA","Pop",1152
556,"artistName556","CHINA","Country",1154
557,"artistName557","MEXICO","Jazz",1156
558,"artistName558","RUSSIA","Rock",1158
559,"artistName559","RUSSIA","Country",1159
560,"artistName560","CHINA","Metal",1160
561,"artistName561","MEXICO","Classical",1161
562,"artistName562","CHINA","Country",1164
563,"artistName563","RUSSIA","Hip Hop",1165
564,"artistName564","AUSTRALIA","Blues",1166
565,"artistName565","GERMANY","Hip Hop",1168
566,"artistName566","GERMANY","Metal",1169
567,"artistName567","GERMANY","Blues",1170
568,"artistName568","CANADA","Rock",1171
569,"artistName569","AUSTRALIA","Blues",1172
570,"artistName570","MEXICO","Electronic",1173
571,"artistName571","RUSSIA","Reggae",1175
572,"artistName572","GERMANY","Rock",1177
573,"artistName573","AUSTRALIA","Pop",1178
574,"artistName574","RUSSIA","Country",1179
575,"artistName575","MEXICO","Jazz",1180
576,"artistName576","CHINA","Electronic",1183
577,"artistName577","AUSTRALIA","Reggae",1184
578,"artistName578","CHINA","Reggae",1187
579,"artistName579","MEXICO","Pop",1188
580,"artistName580","CANADA","Classical",1189
581,"artistName581","MEXICO","Metal",1191
582,"artistName582","GERMANY","Metal",1192
583,"artistName583","MEXICO","Rock",1193
584,"artistName584","AUSTRALIA","Reggae",1194
585,"artistName585","USA","Electronic",1197
586,"artistName586","CHINA","Blues",1198
587,"artistName587","AUSTRALIA","Country",1199
588,"artistName588","CHINA","Reggae",1200
589,"artistName589","AUSTRALIA","Blues",1201
590,"artistName590","RUSSIA","Hip Hop",1202
591,"artistName591","RUSSIA","Jazz",1203
592,"artistName592","RUSSIA","Classical",1204
593,"artistName593","AUSTRALIA","Rock",1205
594,"artistName594","AUSTRALIA","Rock",1208
595,"artistName595","AUSTRALIA","Country",1213
596,"artistName596","AUSTRALIA","Pop",1214
597,"artistName597","RUSSIA","Metal",1220
598,"artistName598","RUSSIA","Blues",1228
599,"artistName599","AUSTRALIA","Metal",1235
600,"artistName600","RUSSIA","Metal",1238
601,"artistName601","CANADA","Metal",1240
602,"artistName602","USA","Jazz",1241
603,"artistName603","RUSSIA","Classical",1244
604,"artistName604","MEXICO","Pop",1249
605,"artistName605","RUSSIA","Classical",1250
606,"artistName606","CANADA","Reggae",1252
607,"artistName607","RUSSIA","Blues",1253
608,"artistName608","AUSTRALIA","Reggae",1254
609,"artistName609","AUSTRALIA","Reggae",1255
610,"artistName610","CANADA","Hip Hop",1256
611,"artistName611","AUSTRALIA","Rock",1257
612,"artistName612","AUSTRALIA","Hip Hop",1258
613,"artistName613","AUSTRALIA","Pop",1260
614,"artistName614","MEXICO","Blues",1266
615,"artistName615","CHINA","Blues",1268
616,"artistName616","AUSTRALIA","Hip Hop",1269
617,"artistName617","GERMANY","Reggae",1270
618,"artistName618","GERMANY","Electronic",1271
619,"artistName619","GERMANY","Hip Hop",1272
620,"artistName620","MEXICO","Reggae",1273
621,"artistName621","USA","Classical",1276
622,"artistName622","RUSSIA","Pop",1277
623,"artistName623","GERMANY","Reggae",1278
624,"artistName624","CANADA","Blues",1281
625,"artistName625","USA","Classical",1282
626,"artistName626","GERMANY","Jazz",1283
627,"artistName627","AUSTRALIA","Metal",1284
628,"artistName628","MEXICO","Pop",1287
629,"artistName629","RUSSIA","Electronic",1289
630,"artistName630","AUSTRALIA","Jazz",1290
631,"artistName631","GERMANY","Classical",1291
632,"artistName632","RUSSIA","Electronic",1292
633,"artistName633","CANADA","Rock",1294
634,"artistName634","CHINA","Country",1295
635,"artistName635","CHINA","Classical",1298
636,"artistName636","MEXICO","Jazz",1300
637,"artistName637","GERMANY","Pop",1302
638,"artistName638","USA","Pop",1304
639,"artistName639","RUSSIA","Classical",1306
640,"artistName640","RUSSIA","Hip Hop",1307
641,"artistName641","AUSTRALIA","Blues",1308
642,"artistName642","RUSSIA","Reggae",1309
643,"artistName643","AUSTRALIA","Reggae",1311
644,"artistName644","CHINA","Classical",1314
645,"artistName645","CANADA","Reggae",1318
646,"artistName646","USA","Jazz",1320
647,"artistName647","RUSSIA","Jazz",1324
648,"artistName648","CHINA","Jazz",1325
649,"artistName649","USA","Jazz",1327
650,"artistName650","USA","Rock",1328
651,"artistName651","MEXICO","Metal",1329
652,"artistName652","CHINA","Electronic",1330
653,"artistName653","GERMANY","Pop",1334
654,"artistName654","RUSSIA","Jazz",1335
655,"artistName655","USA","Hip Hop",1336
656,"artistName656","CHINA","Country",1338
657,"artistName657","CANADA","Hip Hop",1339
658,"artistName658","CANADA","Reggae",1342
659,"artistName659","USA","Classical",1343
660,"artistName660","AUSTRALIA","Classical",1345
661,"artistName661","CANADA","Classical",1346
662,"artistName662","USA","Metal",1348
663,"artistName663","MEXICO","Pop",1351
664,"artistName664","CHINA","Rock",1352
665,"artistName665","MEXICO","Pop",1353
666,"artistName666","CHINA","Jazz",1354
667,"artistName667","CANADA","Electronic",1355
668,"artistName668","MEXICO","Hip Hop",1357
669,"artistName669","AUSTRALIA","Jazz",1359
670,"artistName670","USA","Metal",1360
671,"artistName671","USA","Country",1361
672,"artistName672","AUSTRALIA","Pop",1366
673,"artistName673","CANADA","Pop",1369
674,"artistName674","USA","Blues",1371
675,"artistName675","USA","Rock",1373
